Dataset, OOD public, ID public
$\epsilon=1$, 25.75, 25.91 
$\epsilon=3$, 26.17, 25.75
$\epsilon=8$, 26.43, 27.01
$\epsilon=\infty$ (agg), 30.01, 30.67 
